Year_c,Month_c,Day_c,tName_c,date_ind,pod_id,pod_pls,pl_back,R-3_scr,R-2_scr,R-1_scr,R_scr,win_ind,fav_ind,mid_ind,weak_ind,tie_flag
2018,8,16,Wyndham Championship (USA),2018_8_16,2018_8_16_v0_d1_grp3_PGA,martin laird,3.0,0,2,-1,-1,0,0,1,0,0
2018,8,16,Wyndham Championship (USA),2018_8_16,2018_8_16_v0_d1_grp3_PGA,dominic bozzelli,4.3,-3,-1,-5,-2,1,0,0,1,2
2018,8,16,Wyndham Championship (USA),2018_8_16,2018_8_16_v0_d1_grp3_PGA,joaquin niemann,2.26,-2,-5,-2,-2,1,1,0,0,2
2018,4,5,Masters Tournament (USA),2018_4_5,2018_4_5_v0_d1_grp7_PGA,kiradech aphibarnrat,2.86,1,-5,1,7,0,1,0,0,0
2018,4,5,Masters Tournament (USA),2018_4_5,2018_4_5_v0_d1_grp7_PGA,pat perez,2.98,-3,1,-3,1,0,0,1,0,0
2018,4,5,Masters Tournament (USA),2018_4_5,2018_4_5_v0_d1_grp7_PGA,francesco molinari,3.05,6,0,0,0,1,0,0,1,0
2017,10,19,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,2017_10_19,2017_10_19_v0_d1_grp2_PGA,pat perez,2.98,-1,-2,-6,-3,0,0,1,0,0
2017,10,19,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,2017_10_19,2017_10_19_v0_d1_grp2_PGA,justin thomas,1.9,-4,-3,-2,-9,1,1,0,0,0
2017,10,19,THE CJ CUP @ NINE BRIDGES (South Korea) - Play Offs,2017_10_19,2017_10_19_v0_d1_grp2_PGA,sangmoon bae,5.2,3,3,1,-1,0,0,0,1,0
2018,6,14,US Open (USA),2018_6_14,2018_6_14_v0_d1_grp19_PGA,thorbjorn olesen,2.72,3,-3,-6,6,0,1,0,0,0
2018,6,14,US Open (USA),2018_6_14,2018_6_14_v0_d1_grp19_PGA,shubhankar sharma,3.4,-3,3,4,4,0,0,0,1,0
2018,6,14,US Open (USA),2018_6_14,2018_6_14_v0_d1_grp19_PGA,patrick rodgers,2.78,-4,1,-4,2,1,0,1,0,0
2020,8,6,PGA Championship (USA),2020_8_6,2020_8_6_v0_d1_grp43_PGA,phil mickelson,3.75,1,0,-3,2,0,0,0,1,0
2020,8,6,PGA Championship (USA),2020_8_6,2020_8_6_v0_d1_grp43_PGA,jon rahm,2.16,0,-3,0,0,1,1,0,0,0
